Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  3.333333333333333e+00,  1.267918725590294e-01, -3.103455321653508e-01,  5.900602486532873e-01,  3.139844398717563e-01,  8.122913536809377e-01,  1.023654316655224e-01,  6.369837070853079e-02,  2.077203735026403e-02,  1.700458974198320e+00,  7.339066662631560e-01,  1.371689152216750e+00, -6.895281223904400e-01, -1.859107732984110e-01
  3.337500000000000e+00,  1.270254639775845e-01, -3.122926934157870e-01,  5.917070555467389e-01,  3.154045798481588e-01,  8.122530278602677e-01,  1.023167999793020e-01,  6.821471252338913e-02,  2.176105024209678e-02,  1.708761281604851e+00,  7.400431620592536e-01,  1.378816868950443e+00, -6.896744123004565e-01, -1.870863933681437e-01
  3.341666666666667e+00,  1.272038829860722e-01, -3.143554558323181e-01,  5.932743980011052e-01,  3.167815404328473e-01,  8.122022241759758e-01,  1.022825793583100e-01,  7.305801633810013e-02,  2.264272479319972e-02,  1.717017520816746e+00,  7.462390115323018e-01,  1.385911966745216e+00, -6.898629442637116e-01, -1.881836162897551e-01
  3.345833333333334e+00,  1.273261620880284e-01, -3.165274387601449e-01,  5.947564234050940e-01,  3.181099289321411e-01,  8.121390276479048e-01,  1.022629961712591e-01,  7.823330405123649e-02,  2.342013556108744e-02,  1.725209580752328e+00,  7.525119567300631e-01,  1.392940874140069e+00, -6.901215477913512e-01, -1.891751607085028e-01
  3.350000000000000e+00,  1.273907990840100e-01, -3.188038559910167e-01,  5.961466002268787e-01,  3.193839906011510e-01,  8.120633477257381e-01,  1.022584609921975e-01,  8.373360095719885e-02,  2.409900151028273e-02,  1.733322790350493e+00,  7.588797612777189e-01,  1.399868098541375e+00, -6.904565701351105e-01, -1.900069055690694e-01
  3.354166666666667e+00,  1.273960698519587e-01, -3.211816371756610e-01,  5.974386084277599e-01,  3.205982843818683e-01,  8.119749702667156e-01,  1.022694790587390e-01,  8.953390241094589e-02,  2.468945577273814e-02,  1.741347778300395e+00,  7.653544843284104e-01,  1.406669495788201e+00, -6.908627860200214e-01, -1.906095526286112e-01
  3.358333333333333e+00,  1.273407224749268e-01, -3.236577163407798e-01,  5.986272539382664e-01,  3.217481889824189e-01,  8.118737473581105e-01,  1.022964411101452e-01,  9.559482226834172e-02,  2.520529713637062e-02,  1.749280229657978e+00,  7.719413071518247e-01,  1.413347993089561e+00, -6.913410273991528e-01, -1.909234476379665e-01
  3.362500000000000e+00,  1.272247716013940e-01, -3.262275724197702e-01,  5.997097876578696e-01,  3.228307445662655e-01,  8.117597950711682e-01,  1.023393874337749e-01,  1.018731549871675e-01,  2.566153888394825e-02,  1.757118391060192e+00,  7.786399164811234e-01,  1.419943688359631e+00, -6.919056956815505e-01, -1.909174789077167e-01
  3.366666666666667e+00,  1.270495826633695e-01, -3.288856283077691e-01,  6.006863644773810e-01,  3.238450587376169e-01,  8.116334983620411e-01,  1.023979802364426e-01,  1.083310534199838e-01,  2.607112436827149e-02,  1.764860364341746e+00,  7.854480900269548e-01,  1.426531490327165e+00, -6.925702245606772e-01, -1.905952848667412e-01
  3.370833333333334e+00,  1.268173400154531e-01, -3.316268565544089e-01,  6.015595353861689e-01,  3.247921178679757e-01,  8.114953643800099e-01,  1.024716541758927e-01,  1.149369625921087e-01,  2.644305406505856e-02,  1.772502019584399e+00,  7.923667758887777e-01,  1.433207223612341e+00, -6.933251692552764e-01, -1.899920171428150e-01
