Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  3.333333333333333e+00, -3.732001131341147e-01,  3.159979874944935e-01,  1.015273610321966e+00,  1.380947204968033e+00, -1.217725704150750e+00, -1.326057390598444e+00, -1.921271568041523e-03,  1.110231438651263e-15, -1.334901096892607e-02, -6.156077578602979e-03, -8.742103958542261e-03, -4.277247864872558e-02, -1.087093974582570e-02, -1.926907292980173e-02, -7.553138053136278e-02, -1.564116921392499e-02, -3.019550486433482e-02, -1.086749748848716e-01, -2.017663721641273e-02, -4.097442271815380e-02, -1.401874446063063e-01, -2.469098523124857e-02, -5.083263248296189e-02, -1.715531724763962e-01, -2.703877563940735e-02, -6.151546318328899e-02, -1.878656399237985e-01, -5.239684527381787e-02,  7.490222431052534e-02,  1.068143186397339e-01, -5.239684527382003e-02,  7.490222431052689e-02,  1.068143186397330e-01, -5.239684527382358e-02,  7.490222431052777e-02,  1.068143186397313e-01, -5.239684527382747e-02,  7.490222431052911e-02,  1.068143186397294e-01, -5.239684527383003e-02,  7.490222431052988e-02,  1.068143186397263e-01, -5.239684527383251e-02,  7.490222431052965e-02,  1.068143186397246e-01,  6.886742133682300e-01,  1.918308253710868e-01
  3.337500000000000e+00, -3.732071630338691e-01,  3.160953171461789e-01,  1.014989916164933e+00,  1.382084023812835e+00, -1.215787694139070e+00, -1.327289716204489e+00, -1.910336160391102e-03, -1.251230805244696e-13, -1.333180691011769e-02, -6.121038690858639e-03, -8.820238912916997e-03, -4.271735394795528e-02, -1.080906501570576e-02, -1.944129555950774e-02, -7.543403651770333e-02, -1.555214350425407e-02, -3.046538547928333e-02, -1.085349157709129e-01, -2.006179673196610e-02, -4.134064287066352e-02, -1.400067725675174e-01, -2.455045018175001e-02, -5.128696309147153e-02, -1.713320766318529e-01, -2.688487754089202e-02, -6.206527452316985e-02, -1.876235207499056e-01, -5.246867120259820e-02,  7.475358264647979e-02,  1.069513646722103e-01, -5.246867120268704e-02,  7.475358264682924e-02,  1.069513646722569e-01, -5.246867120277114e-02,  7.475358264711751e-02,  1.069513646722660e-01, -5.246867120285322e-02,  7.475358264734408e-02,  1.069513646722319e-01, -5.246867120293471e-02,  7.475358264751046e-02,  1.069513646721487e-01, -5.246867120301853e-02,  7.475358264761812e-02,  1.069513646720136e-01,  6.876314962538512e-01,  1.922359469488781e-01
  3.341666666666667e+00, -3.732259279649282e-01,  3.161897689644861e-01,  1.014714119821412e+00,  1.383225095797220e+00, -1.213874000723904e+00, -1.328489899408905e+00, -1.899755519071998e-03, -1.223474994175735e-13, -1.331441345724278e-02, -6.087136534689132e-03, -8.891521624781195e-03, -4.266162239647513e-02, -1.074919762576643e-02, -1.959841469010385e-02, -7.533562087390785e-02, -1.546600596709454e-02, -3.071159823115863e-02, -1.083933147893961e-01, -1.995068190327106e-02, -4.167474642081762e-02, -1.398241115659861e-01, -2.441447437147783e-02, -5.170145002868418e-02, -1.711085468115507e-01, -2.673597220593598e-02, -6.256686876848429e-02, -1.873787361613925e-01, -5.253341348922703e-02,  7.459958311045048e-02,  1.070827490693383e-01, -5.253341348930460e-02,  7.459958311079357e-02,  1.070827490693686e-01, -5.253341348937999e-02,  7.459958311107816e-02,  1.070827490693612e-01, -5.253341348945501e-02,  7.459958311130505e-02,  1.070827490693112e-01, -5.253341348953174e-02,  7.459958311147628e-02,  1.070827490692126e-01, -5.253341348961200e-02,  7.459958311159209e-02,  1.070827490690632e-01,  6.865381976875394e-01,  1.926382835748943e-01
  3.345833333333334e+00, -3.732562687369365e-01,  3.162813302503779e-01,  1.014446529207425e+00,  1.384369704503485e+00, -1.211987173992004e+00, -1.329652035975194e+00, -1.889587768228708e-03, -1.196829415583792e-13, -1.329688711264655e-02, -6.054557349121591e-03, -8.956188225170579e-03, -4.260546503754595e-02, -1.069166645292611e-02, -1.974095079410643e-02, -7.523645330210875e-02, -1.538322979223040e-02, -3.093495872376661e-02, -1.082506319296408e-01, -1.984390313070258e-02, -4.197784011915992e-02, -1.396400549741112e-01, -2.428380477237727e-02, -5.207746632260579e-02, -1.708833091496408e-01, -2.659287763357276e-02, -6.302190749768150e-02, -1.871320813378292e-01, -5.259119340883991e-02,  7.444092661820816e-02,  1.072085564698979e-01, -5.259119340890639e-02,  7.444092661854371e-02,  1.072085564699127e-01, -5.259119340897210e-02,  7.444092661882384e-02,  1.072085564698894e-01, -5.259119340903948e-02,  7.444092661904936e-02,  1.072085564698221e-01, -5.259119340911033e-02,  7.444092661922205e-02,  1.072085564697072e-01, -5.259119340918612e-02,  7.444092661934451e-02,  1.072085564695410e-01,  6.853999841534122e-01,  1.930373462435521e-01
  3.350000000000000e+00, -3.732980010023803e-01,  3.163700138608800e-01,  1.014187338658251e+00,  1.385517381990588e+00, -1.210128528852440e+00, -1.330771105741667e+00, -1.879863244611428e-03, -1.160191756008884e-13, -1.327927099446211e-02, -6.023398338212652e-03, -9.014415696990892e-03, -4.254902002892495e-02, -1.063664314860212e-02, -1.986929397171666e-02, -7.513677777334705e-02, -1.530406195268458e-02, -3.113607826168706e-02, -1.081072182185519e-01, -1.974177900202217e-02, -4.225075348824045e-02, -1.394550556060275e-01, -2.415883125346378e-02, -5.241604107412783e-02, -1.706569177735030e-01, -2.645602076427372e-02, -6.343163608435054e-02, -1.868841630968749e-01, -5.264224532482811e-02,  7.427808342583314e-02,  1.073289121730724e-01, -5.264224532488257e-02,  7.427808342616044e-02,  1.073289121730724e-01, -5.264224532493882e-02,  7.427808342643467e-02,  1.073289121730321e-01, -5.264224532499782e-02,  7.427808342665797e-02,  1.073289121729477e-01, -5.264224532506161e-02,  7.427808342683132e-02,  1.073289121728141e-01, -5.264224532513106e-02,  7.427808342695726e-02,  1.073289121726281e-01,  6.842207760707975e-01,  1.934328173153522e-01
  3.354166666666667e+00, -3.733508892186764e-01,  3.164558283946385e-01,  1.013936709093298e+00,  1.386667589003373e+00, -1.208298761335940e+00, -1.331842377736422e+00, -1.870601931980740e-03, -1.121333635390132e-13, -1.326160668271757e-02, -5.993723533293228e-03, -9.066324241689488e-03, -4.249242060002197e-02, -1.058424078491543e-02, -1.998370916721690e-02, -7.503682955575698e-02, -1.522866513726071e-02, -3.131537202453871e-02, -1.079634121612454e-01, -1.964451938088580e-02, -4.249404991473941e-02, -1.392695501231395e-01, -2.403981063357186e-02, -5.271787321751512e-02, -1.704299070437528e-01, -2.632568283699108e-02, -6.379690034864534e-02, -1.866355666098651e-01, -5.268665391964168e-02,  7.411143815766584e-02,  1.074438979085455e-01, -5.268665391968424e-02,  7.411143815798524e-02,  1.074438979085312e-01, -5.268665391972997e-02,  7.411143815825379e-02,  1.074438979084745e-01, -5.268665391978023e-02,  7.411143815847228e-02,  1.074438979083708e-01, -5.268665391983583e-02,  7.411143815864404e-02,  1.074438979082166e-01, -5.268665391989801e-02,  7.411143815877209e-02,  1.074438979080086e-01,  6.830036904304465e-01,  1.938244880596437e-01
  3.358333333333333e+00, -3.734146504172380e-01,  3.165387951796263e-01,  1.013694756922062e+00,  1.387819716785051e+00, -1.206498054208573e+00, -1.332861353097068e+00, -1.861816470852880e-03, -1.078034591313547e-13, -1.324393541401436e-02, -5.965573436706545e-03, -9.111974786645710e-03, -4.243579887985093e-02, -1.053453088444142e-02, -2.008433067483747e-02, -7.493684197429823e-02, -1.515714225304204e-02, -3.147305045742756e-02, -1.078195494669828e-01, -1.955225701433223e-02, -4.270801496655084e-02, -1.390839715802850e-01, -2.392690536074187e-02, -5.298331702665016e-02, -1.702028069075013e-01, -2.620204174645253e-02, -6.411812901756488e-02, -1.863868722149622e-01, -5.272431936522717e-02,  7.394129843302209e-02,  1.075535387339865e-01, -5.272431936525754e-02,  7.394129843333312e-02,  1.075535387339586e-01, -5.272431936529242e-02,  7.394129843359397e-02,  1.075535387338850e-01, -5.272431936533278e-02,  7.394129843380746e-02,  1.075535387337609e-01, -5.272431936537955e-02,  7.394129843397590e-02,  1.075535387335829e-01, -5.272431936543354e-02,  7.394129843410481e-02,  1.075535387333498e-01,  6.817510781714614e-01,  1.942122533704804e-01
  3.362500000000000e+00, -3.734889625363215e-01,  3.166189545832795e-01,  1.013461547530673e+00,  1.388973149630870e+00, -1.204726189559005e+00, -1.333823739775518e+00, -1.853515113422703e-03, -1.021412773881827e-13, -1.322629662548191e-02, -5.938974489874208e-03, -9.151379289527138e-03, -4.237928123161500e-02, -1.048756013975356e-02, -2.017118485129399e-02, -7.483703817215744e-02, -1.508956048156608e-02, -3.160915486251376e-02, -1.076759511954369e-01, -1.946507856452129e-02, -4.289270468950564e-02, -1.388987341347722e-01, -2.382022148704019e-02, -5.321244203166675e-02, -1.699761241861707e-01, -2.608521362889405e-02, -6.439540623348351e-02, -1.861386349256906e-01, -5.275496034255291e-02,  7.376791583734894e-02,  1.076577855565247e-01, -5.275496034257083e-02,  7.376791583765119e-02,  1.076577855564840e-01, -5.275496034259466e-02,  7.376791583790460e-02,  1.076577855563935e-01, -5.275496034262422e-02,  7.376791583811150e-02,  1.076577855562474e-01, -5.275496034266090e-02,  7.376791583827533e-02,  1.076577855560436e-01, -5.275496034270483e-02,  7.376791583840113e-02,  1.076577855557801e-01,  6.804646780099348e-01,  1.945960447738614e-01
  3.366666666666667e+00, -3.735734704136927e-01,  3.166963604109840e-01,  1.013237098480403e+00,  1.390127314696636e+00, -1.202982595473390e+00, -1.334725466722793e+00, -1.845701793332279e-03, -9.714523464930997e-14, -1.320872620548346e-02, -5.913939296846032e-03, -9.184515486575605e-03, -4.232298264767358e-02, -1.044335080818416e-02, -2.024422262350821e-02, -7.473762121289101e-02, -1.502595184680749e-02, -3.172360834007405e-02, -1.075329095155937e-01, -1.938302534141558e-02, -4.304801473291413e-02, -1.387142146757939e-01, -2.371980956517743e-02, -5.340511877570202e-02, -1.697503200946511e-01, -2.597525384392769e-02, -6.462857533327809e-02, -1.858913598124550e-01, -5.277816816219260e-02,  7.359149992634188e-02,  1.077565180418223e-01, -5.277816816219846e-02,  7.359149992663566e-02,  1.077565180417709e-01, -5.277816816220998e-02,  7.359149992688081e-02,  1.077565180416620e-01, -5.277816816222858e-02,  7.359149992707979e-02,  1.077565180414928e-01, -5.277816816225343e-02,  7.359149992723753e-02,  1.077565180412599e-01, -5.277816816228643e-02,  7.359149992735882e-02,  1.077565180409630e-01,  6.791457597360994e-01,  1.949757691128794e-01
  3.370833333333334e+00, -3.736677875546953e-01,  3.167710792084555e-01,  1.013021383771425e+00,  1.391281673243593e+00, -1.201266373051425e+00, -1.335562678193319e+00, -1.838374512128324e-03, -9.081691465917029e-14, -1.319125730690279e-02, -5.890461454243105e-03, -9.211338483606758e-03, -4.226700935544869e-02, -1.040189158208595e-02, -2.030334503711658e-02, -7.463877868216386e-02, -1.496630007926008e-02, -3.181625582416696e-02, -1.073906943267636e-01, -1.930607635784131e-02, -4.317373467679917e-02, -1.385307613653317e-01, -2.362564391228181e-02, -5.356108621294572e-02, -1.695258206931549e-01, -2.587213426657600e-02, -6.481732041054833e-02, -1.856455134482323e-01, -5.279348084699938e-02,  7.341221935984578e-02,  1.078495730422113e-01, -5.279348084699274e-02,  7.341221936013177e-02,  1.078495730421498e-01, -5.279348084699220e-02,  7.341221936036781e-02,  1.078495730420233e-01, -5.279348084699840e-02,  7.341221936055844e-02,  1.078495730418293e-01, -5.279348084701121e-02,  7.341221936070789e-02,  1.078495730415647e-01, -5.279348084703043e-02,  7.341221936082251e-02,  1.078495730412300e-01,  6.777951964169734e-01,  1.953513042952907e-01
