Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  4.583333333333333e-02,  4.188751172701994e-01,  2.975636307542096e-01, -1.192057749800469e-01,  4.310355531649389e-01, -1.124439744568462e-01,  1.501628670189210e-01
  5.000000000000000e-02,  4.187398942530441e-01,  2.966577979487734e-01, -1.166275137734854e-01,  4.306981067387522e-01, -1.116472474652848e-01,  1.496567154027660e-01
  5.416666666666666e-02,  4.185887440318500e-01,  2.957113041814281e-01, -1.140032671857604e-01,  4.303248733290135e-01, -1.108573912679948e-01,  1.491339922377774e-01
  5.833333333333333e-02,  4.184214526258115e-01,  2.947236275288101e-01, -1.113387302451535e-01,  4.299147538317774e-01, -1.100764290258812e-01,  1.485992196505989e-01
  6.250000000000000e-02,  4.182386491108317e-01,  2.936963024995929e-01, -1.086356636627635e-01,  4.294689719539745e-01, -1.093093202873154e-01,  1.480495271553173e-01
  6.666666666666667e-02,  4.180404341467375e-01,  2.926289599995204e-01, -1.058998605746155e-01,  4.289867261837184e-01, -1.085577894093612e-01,  1.474899775976896e-01
  7.083333333333333e-02,  4.178273294900389e-01,  2.915220473604847e-01, -1.031358167162176e-01,  4.284682210530284e-01, -1.078245938140185e-01,  1.469231230933281e-01
  7.500000000000000e-02,  4.176000620118480e-01,  2.903761729323673e-01, -1.003479998560606e-01,  4.279139290606142e-01, -1.071124195633115e-01,  1.463515575553322e-01
  7.916666666666666e-02,  4.173595501517134e-01,  2.891921122655710e-01, -9.754081263863147e-02,  4.273245947000918e-01, -1.064238646810191e-01,  1.457778703609902e-01
  8.333333333333333e-02,  4.171068925899404e-01,  2.879708051031531e-01, -9.471855479651396e-02,  4.267012306338713e-01, -1.057614173468463e-01,  1.452046104050880e-01
