Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  4.583333333333333e-02,  1.039496846231415e-02, -3.079238266108607e-01,  2.130501738760472e-01,  1.003583235064421e-01,  8.058068425530563e-01,  1.218984793097069e-01, -9.968712109732797e-02,  5.280077478614350e-01,  1.981481382798328e-01,  1.740483806083189e+00,  2.070784685336581e-01, -7.206114079685051e-01,  3.727192906839781e-01
  5.000000000000000e-02,  1.068091316181170e-02, -3.057799953581404e-01,  2.137161517633783e-01,  1.004841472088564e-01,  8.059968913651177e-01,  1.217159169290502e-01, -9.903065968553099e-02,  5.266625626442007e-01,  2.030476143833268e-01,  1.735119231380426e+00,  2.068387246863079e-01, -7.252249207388186e-01,  3.726681078531004e-01
  5.416666666666666e-02,  1.097373119233845e-02, -3.036834749664735e-01,  2.144219987253896e-01,  1.006298311355639e-01,  8.061811668313322e-01,  1.215371546472644e-01, -9.841971247497035e-02,  5.251068903150776e-01,  2.079819892437348e-01,  1.729489525218829e+00,  2.064777196760847e-01, -7.298848270894558e-01,  3.725707799629920e-01
  5.833333333333333e-02,  1.127273850907370e-02, -3.016321378494328e-01,  2.151634744699616e-01,  1.007935088623332e-01,  8.063600204020995e-01,  1.213620102037970e-01, -9.786027836365967e-02,  5.233423208328939e-01,  2.129399871829354e-01,  1.723599119996453e+00,  2.059824146117046e-01, -7.345712678139402e-01,  3.724227623318977e-01
  6.250000000000000e-02,  1.157661441180013e-02, -2.996513120876663e-01,  2.159419624402457e-01,  1.009776278497709e-01,  8.065308539616777e-01,  1.211927233342290e-01, -9.736219444906787e-02,  5.213634299898660e-01,  2.179080310865289e-01,  1.717456101132661e+00,  2.053390407080138e-01, -7.392840370118877e-01,  3.722263448842606e-01
  6.666666666666667e-02,  1.188450056708544e-02, -2.977378543414038e-01,  2.167523218339682e-01,  1.011798833220327e-01,  8.066941479567340e-01,  1.210290262353143e-01, -9.693006293591175e-02,  5.191752861556258e-01,  2.228759748891120e-01,  1.711066727773528e+00,  2.045339552284422e-01, -7.440029988682639e-01,  3.719777754173882e-01
  7.083333333333333e-02,  1.219528972968786e-02, -2.958964597910356e-01,  2.175908003088925e-01,  1.013991088417076e-01,  8.068495486253361e-01,  1.208713408757200e-01, -9.656907074542644e-02,  5.167819967861735e-01,  2.278334495764277e-01,  1.704439066555231e+00,  2.035531067776217e-01, -7.487141819765820e-01,  3.716760374337529e-01
  7.500000000000000e-02,  1.250782196480824e-02, -2.941305829955620e-01,  2.184531474838103e-01,  1.016338386512438e-01,  8.069968432770299e-01,  1.207199793139190e-01, -9.628360733866367e-02,  5.141896189124596e-01,  2.327706511780037e-01,  1.697582053014994e+00,  2.023824183961081e-01, -7.534033145591904e-01,  3.713206841653254e-01
  7.916666666666666e-02,  1.282089909773446e-02, -2.924424181322818e-01,  2.193346758264003e-01,  1.018823287616380e-01,  8.071359602921911e-01,  1.205751416553964e-01, -9.607729052372294e-02,  5.114061431466563e-01,  2.376782913806299e-01,  1.690505477167298e+00,  2.010079779716641e-01, -7.580559281945336e-01,  3.709117058141824e-01
  8.333333333333333e-02,  1.313330331885582e-02, -2.908329096624214e-01,  2.202303453263525e-01,  1.021425903641994e-01,  8.072669651062875e-01,  1.204369169774642e-01, -9.595300476610270e-02,  5.084414362216811e-01,  2.425475267649534e-01,  1.683219953481699e+00,  1.994161526246682e-01, -7.626575078938147e-01,  3.704494399034698e-01
