Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  3.333333333333333e+00,  6.482433164063665e-01,  2.470484237233039e-01,  5.191636883508438e-02,  7.337955918124424e-01, -3.275870333928988e-01,  2.495045175187391e-01
  3.337500000000000e+00,  6.480770946387594e-01,  2.479644010046322e-01,  5.214662839557654e-02,  7.348954191592426e-01, -3.279840323048591e-01,  2.507978937808007e-01
  3.341666666666667e+00,  6.479184838601653e-01,  2.488858632835200e-01,  5.225578611462584e-02,  7.360380316659104e-01, -3.283829190800542e-01,  2.521216178769324e-01
  3.345833333333334e+00,  6.477665737555062e-01,  2.498104654317475e-01,  5.224110853292976e-02,  7.372183819280369e-01, -3.287828863525012e-01,  2.534745516039619e-01
  3.350000000000000e+00,  6.476203269163653e-01,  2.507361888168926e-01,  5.210048516915462e-02,  7.384311530885771e-01, -3.291833015681193e-01,  2.548552178049868e-01
  3.354166666666667e+00,  6.474785489890659e-01,  2.516613468569158e-01,  5.183245172871231e-02,  7.396707751801054e-01, -3.295837241945375e-01,  2.562617840124759e-01
  3.358333333333333e+00,  6.473398614135744e-01,  2.525845864951739e-01,  5.143621032491922e-02,  7.409314418179287e-01, -3.299839187044807e-01,  2.576920528317914e-01
  3.362500000000000e+00,  6.472026866149003e-01,  2.535049085189991e-01,  5.091165887544014e-02,  7.422071348293736e-01, -3.303838655417172e-01,  2.591434482490058e-01
  3.366666666666667e+00,  6.470652516340601e-01,  2.544217118625176e-01,  5.025942740559870e-02,  7.434916584854135e-01, -3.307837703699347e-01,  2.606129958133345e-01
  3.370833333333334e+00,  6.469256128205333e-01,  2.553348467537047e-01,  4.948090658337326e-02,  7.447786814067590e-01, -3.311840716804021e-01,  2.620973050197543e-01
  3.375000000000000e+00,  6.467816919475602e-01,  2.562446559601159e-01,  4.857826240613178e-02,  7.460617798380672e-01, -3.315854470463825e-01,  2.635925647711513e-01
  3.379166666666667e+00,  6.466313070040078e-01,  2.571520000820908e-01,  4.755445095416688e-02,  7.473344764501820e-01, -3.319888185519164e-01,  2.650945532307473e-01
  3.383333333333333e+00,  6.464721812054877e-01,  2.580582764365058e-01,  4.641325255428161e-02,  7.485902690091238e-01, -3.323953551390419e-01,  2.665986551673201e-01
  3.387500000000000e+00,  6.463019760867199e-01,  2.589654435799802e-01,  4.515930903548875e-02,  7.498226782025765e-01, -3.328064791284356e-01,  2.680998736009438e-01
  3.391666666666667e+00,  6.461182370827746e-01,  2.598759813758380e-01,  4.379816610767105e-02,  7.510252373883625e-01, -3.332238466713940e-01,  2.695928745829779e-01
  3.395833333333333e+00,  6.459183918514909e-01,  2.607927748221459e-01,  4.233624407119359e-02,  7.521915095248065e-01, -3.336493310290084e-01,  2.710720603311839e-01
  3.400000000000000e+00,  6.456997022508449e-01,  2.617188698749191e-01,  4.078074783515466e-02,  7.533150630609644e-01, -3.340849833339762e-01,  2.725317052932351e-01
  3.404166666666667e+00,  6.454592369474719e-01,  2.626571592190883e-01,  3.913951882579957e-02,  7.543894500172769e-01, -3.345329842352389e-01,  2.739661268220528e-01
  3.408333333333334e+00,  6.451938808168012e-01,  2.636100823247889e-01,  3.742087324206751e-02,  7.554082025061091e-01, -3.349955917979377e-01,  2.753698523725232e-01
  3.412500000000000e+00,  6.449003823973005e-01,  2.645794116744860e-01,  3.563347325330527e-02,  7.563648580606646e-01, -3.354750912578094e-01,  2.767377494115223e-01
  3.416666666666667e+00,  6.445754240696231e-01,  2.655661512566052e-01,  3.378625884316454e-02,  7.572530111249099e-01, -3.359737488605651e-01,  2.780651041984847e-01
  3.420833333333333e+00,  6.442156991939810e-01,  2.665705408971357e-01,  3.188844762982496e-02,  7.580663828924759e-01, -3.364937707015264e-01,  2.793476503496278e-01
  3.425000000000000e+00,  6.438179900529508e-01,  2.675921593857491e-01,  2.994960191915307e-02,  7.587989049201592e-01, -3.370372689182434e-01,  2.805815496757125e-01
  3.429166666666667e+00,  6.433792466222001e-01,  2.686301201435104e-01,  2.797975433213321e-02,  7.594448137630621e-01, -3.376062373156983e-01,  2.817633285446439e-01
