Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  3.333333333333333e+00,  5.562639429239814e-02, -9.942505880275967e-02,  3.078651768531723e-01,  1.270266631785424e-01,  8.266272317382725e-01,  1.029312059481161e-01, -3.143480574668746e-01,  4.513970600083130e-01,  1.151836914336157e-01,  1.307137607271558e+00, -9.944936830798883e-01, -8.721050956360593e-01, -4.132752151721984e-01
  3.337500000000000e+00,  5.559437257949231e-02, -9.968287165741113e-02,  3.078528305015663e-01,  1.270436583181630e-01,  8.265992398607944e-01,  1.029586176330073e-01, -3.162925759134717e-01,  4.489488436256203e-01,  1.138436673856972e-01,  1.313335747218488e+00, -9.938264190007979e-01, -8.770121378477824e-01, -4.132183542643545e-01
  3.341666666666667e+00,  5.553741788737965e-02, -9.997235341759839e-02,  3.077782027047224e-01,  1.270343265330235e-01,  8.265691524041205e-01,  1.029898798844591e-01, -3.182136426790081e-01,  4.463760499129464e-01,  1.125236721807781e-01,  1.319656195984905e+00, -9.930382367811394e-01, -8.820754470630260e-01, -4.132402378065519e-01
  3.345833333333334e+00,  5.545550373258441e-02, -1.002917325038436e-01,  3.076405703680660e-01,  1.269981782454592e-01,  8.265371814756083e-01,  1.030248077146358e-01, -3.201060465341120e-01,  4.436850728797834e-01,  1.112333182105217e-01,  1.326079585961795e+00, -9.921196774044163e-01, -8.872930107592742e-01, -4.133492141639057e-01
  3.350000000000000e+00,  5.534878931259179e-02, -1.006388551479329e-01,  3.074395969027944e-01,  1.269348790521893e-01,  8.265035753834198e-01,  1.030631692944589e-01, -3.219647174373072e-01,  4.408831012147905e-01,  1.099818977293858e-01,  1.332585861340273e+00, -9.910605559838032e-01, -8.926621252965106e-01, -4.135531884472253e-01
  3.354166666666667e+00,  5.521760349280179e-02, -1.010111959386653e-01,  3.071752917628437e-01,  1.268442319103991e-01,  8.264686184157867e-01,  1.031046873974837e-01, -3.237846555630371e-01,  4.379780108255418e-01,  1.087783086794363e-01,  1.339154517720667e+00, -9.898503172669145e-01, -8.981793819280250e-01, -4.138595712800842e-01
  3.358333333333333e+00,  5.506243993991583e-02, -1.014058602073445e-01,  3.068480007167013e-01,  1.267261727716315e-01,  8.264326307700225e-01,  1.031490398109724e-01, -3.255609142885962e-01,  4.349782864983560e-01,  1.076309951026528e-01,  1.345764831851334e+00, -9.884783814222247e-01, -9.038404149105065e-01, -4.142752319137161e-01
  3.362500000000000e+00,  5.488395292054227e-02, -1.018195944078157e-01,  3.064584015247397e-01,  1.265807692469489e-01,  8.263959674209650e-01,  1.031958606248534e-01, -3.272886076869355e-01,  4.318929664974928e-01,  1.065479035815009e-01,  1.352396055435806e+00, -9.869344480437541e-01, -9.096397060421945e-01, -4.148063657134866e-01
  3.366666666666667e+00,  5.468295308321475e-02, -1.022488063430551e-01,  3.060075035435620e-01,  1.264082217710286e-01,  8.263590157594808e-01,  1.032447426018808e-01, -3.289629406459446e-01,  4.287316053084281e-01,  1.055364578272866e-01,  1.359027548108972e+00, -9.852087185653315e-01, -9.155706077330898e-01, -4.154582943501476e-01
  3.370833333333334e+00,  5.446040252057548e-02, -1.026895933555049e-01,  3.054966485193817e-01,  1.262088658147541e-01,  8.263221922684014e-01,  1.032952404476375e-01, -3.305792563071201e-01,  4.255042457383167e-01,  1.046035447249082e-01,  1.365638861153323e+00, -9.832920468291830e-01, -9.216253815468353e-01, -4.162353306046513e-01
