Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  4.583333333333333e-02,  9.143073732624142e-01,  1.603805509091729e-01,  9.731000436222320e-03,  6.454461996519972e-01,  8.344448515305472e-02, -1.311528255500477e-01
  5.000000000000000e-02,  9.093529554136988e-01,  1.597263711638091e-01,  1.237544666119600e-02,  6.455121983433556e-01,  9.126841992195543e-02, -1.283778719521047e-01
  5.416666666666666e-02,  9.048643033880449e-01,  1.589515557278898e-01,  1.484946423329042e-02,  6.468326861697790e-01,  9.817825239135330e-02, -1.259328103039567e-01
  5.833333333333333e-02,  9.008819623935196e-01,  1.580682540546332e-01,  1.714747051370023e-02,  6.494537177260897e-01,  1.041278174897380e-01, -1.238431472389163e-01
  6.250000000000000e-02,  8.974408944482890e-01,  1.570964183723746e-01,  1.926875716277531e-02,  6.534113337199464e-01,  1.090846436660017e-01, -1.221308258561758e-01
  6.666666666666667e-02,  8.945687975923370e-01,  1.560577051135521e-01,  2.121546446663377e-02,  6.587284472977671e-01,  1.130307334624689e-01, -1.208110522964360e-01
  7.083333333333333e-02,  8.922857421717694e-01,  1.549747112717090e-01,  2.299211968705792e-02,  6.654145930060599e-01,  1.159633055263917e-01, -1.198917066174413e-01
  7.500000000000000e-02,  8.906040497787583e-01,  1.538700309360539e-01,  2.460506575872188e-02,  6.734661071535670e-01,  1.178950209485163e-01, -1.193730201907580e-01
  7.916666666666666e-02,  8.895284359139846e-01,  1.527651927692257e-01,  2.606184334687679e-02,  6.828667421372629e-01,  1.188536462018173e-01, -1.192475598404215e-01
  8.333333333333333e-02,  8.890564226669954e-01,  1.516795637790762e-01,  2.737058448983044e-02,  6.935886803724685e-01,  1.188811480485894e-01, -1.195005403691815e-01
  8.749999999999999e-02,  8.891789958359473e-01,  1.506293110408776e-01,  2.853947367456242e-02,  7.055938764269488e-01,  1.180322671227414e-01, -1.201104565285286e-01
