Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  4.583333333333333e-02,  1.004985716146062e-01, -1.065353809094039e-01,  5.312981631806530e-01,  2.049314936545573e-01,  7.676455166789580e-01,  1.206858105131945e-01,  2.947763789844016e-01,  7.692244637614025e-01,  1.246143485961222e+00,  1.492226491708155e-01,  1.735383931401751e+00, -8.627267282117835e-01,  3.882241668762758e-02
  5.000000000000000e-02,  1.003444987495815e-01, -1.063523102658785e-01,  5.307609854357572e-01,  2.046185259435986e-01,  7.676774783507437e-01,  1.206743220192089e-01,  2.942387390999845e-01,  7.686329120012275e-01,  1.246710038037195e+00,  1.495620033852993e-01,  1.735386535326684e+00, -8.619654091097345e-01,  3.966197779905661e-02
  5.416666666666666e-02,  1.002165167768083e-01, -1.061745443757936e-01,  5.303020757642780e-01,  2.043484343010652e-01,  7.677071549501062e-01,  1.206624323036143e-01,  2.936159328416433e-01,  7.681030902425983e-01,  1.247193238402711e+00,  1.499049341213441e-01,  1.735388643662327e+00, -8.611935135252851e-01,  4.050769709659482e-02
  5.833333333333333e-02,  1.001151138899449e-01, -1.060038270045485e-01,  5.299240289811222e-01,  2.041226302279843e-01,  7.677341633961260e-01,  1.206503630714237e-01,  2.929070600182371e-01,  7.676396134865143e-01,  1.247597080867244e+00,  1.502447046287592e-01,  1.735390854719884e+00, -8.604163308681282e-01,  4.136069531311829e-02
  6.250000000000000e-02,  1.000409754875793e-01, -1.058403725343105e-01,  5.296289761013043e-01,  2.039421967716832e-01,  7.677584062363577e-01,  1.206381411626624e-01,  2.921134058297629e-01,  7.672466997714831e-01,  1.247921825419315e+00,  1.505802173255292e-01,  1.735393162180127e+00, -8.596357546629919e-01,  4.221867645695510e-02
  6.666666666666667e-02,  9.999424987395192e-02, -1.056842742931046e-01,  5.294174077221840e-01,  2.038073423860243e-01,  7.677798437781478e-01,  1.206257925685808e-01,  2.912373078373803e-01,  7.669280223062479e-01,  1.248169364239410e+00,  1.509102284657334e-01,  1.735395559641246e+00, -8.588536049268496e-01,  4.307929259280788e-02
  7.083333333333333e-02,  9.997454171796728e-02, -1.055355237896604e-01,  5.292881658976845e-01,  2.037174007661360e-01,  7.677984920003652e-01,  1.206133439126355e-01,  2.902820851331044e-01,  7.666866448339859e-01,  1.248343148068060e+00,  1.512333491621286e-01,  1.735398040984583e+00, -8.580716225444137e-01,  4.394018208713632e-02
  7.500000000000000e-02,  9.998092630552041e-02, -1.053940317170985e-01,  5.292384965005453e-01,  2.036708624779520e-01,  7.678144193285514e-01,  1.206008235768647e-01,  2.892519664724639e-01,  7.665249829469998e-01,  1.248448071564727e+00,  1.515480487422927e-01,  1.735400600492079e+00, -8.572914688626803e-01,  4.479897687925825e-02
  7.916666666666666e-02,  1.000119783391888e-01, -1.052596557783985e-01,  5.292641487178239e-01,  2.036654309853779e-01,  7.678277411165282e-01,  1.205882635307698e-01,  2.881520222216889e-01,  7.664447720264039e-01,  1.248490335941679e+00,  1.518526617801371e-01,  1.735403232972927e+00, -8.565147288376651e-01,  4.565328352588219e-02
  8.333333333333333e-02,  1.000658127397755e-01, -1.051322341802198e-01,  5.293595134806396e-01,  2.036980987713177e-01,  7.678386122113937e-01,  1.205757017666489e-01,  2.869880927481344e-01,  7.664470485154611e-01,  1.248477296450063e+00,  1.521453971265960e-01,  1.735405933906547e+00, -8.557429144992023e-01,  4.650066885499602e-02
