Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_ObjectPos.Pos
  4.583333333333333e-02,  1.882839043355421e+00
  5.000000000000000e-02,  1.835485070424921e+00
  5.416666666666666e-02,  1.789328585446183e+00
  5.833333333333333e-02,  1.744499382344497e+00
  6.250000000000000e-02,  1.700991862968595e+00
  6.666666666666667e-02,  1.658728978606665e+00
  7.083333333333333e-02,  1.617592977079658e+00
  7.500000000000000e-02,  1.577457756116048e+00
  7.916666666666666e-02,  1.538199483282937e+00
  8.333333333333333e-02,  1.499699923720223e+00
  8.749999999999999e-02,  1.461851605647128e+00
  9.166666666666666e-02,  1.424557975375466e+00
  9.583333333333333e-02,  1.387733037647364e+00
  9.999999999999999e-02,  1.351300788051176e+00
  1.041666666666667e-01,  1.315193987290223e+00
  1.083333333333333e-01,  1.279353976792127e+00
  1.125000000000000e-01,  1.243727409864964e+00
  1.166666666666667e-01,  1.208268840090170e+00
  1.208333333333333e-01,  1.172937616418882e+00
  1.250000000000000e-01,  1.137697476657385e+00
  1.291666666666667e-01,  1.102516978046480e+00
  1.333333333333333e-01,  1.067367293001670e+00
  1.375000000000000e-01,  1.032222755480403e+00
  1.416666666666667e-01,  9.970601239522697e-01
  1.458333333333333e-01,  9.618581700252786e-01
  1.500000000000000e-01,  9.265971430914614e-01
  1.541666666666666e-01,  8.912591931877515e-01
  1.583333333333334e-01,  8.558270612449658e-01
  1.625000000000000e-01,  8.202844849891550e-01
  1.666666666666667e-01,  7.846165433517445e-01
  1.708333333333333e-01,  7.488081930354925e-01
  1.750000000000000e-01,  7.128458902278010e-01
  1.791666666666667e-01,  6.767169738688479e-01
  1.833333333333333e-01,  6.404093076225355e-01
  1.875000000000000e-01,  6.039120481878810e-01
  1.916666666666667e-01,  5.672156451610437e-01
  1.958333333333333e-01,  5.303120421213187e-01
  2.000000000000000e-01,  4.931948877764638e-01
  2.041666666666667e-01,  4.558596615353045e-01
  2.083333333333333e-01,  4.183039422926703e-01
  2.125000000000000e-01,  3.805273412072629e-01
  2.166666666666667e-01,  3.425315842384196e-01
  2.208333333333333e-01,  3.043205131673936e-01
  2.250000000000000e-01,  2.658997377991469e-01
  2.291666666666667e-01,  2.272768171176108e-01
  2.333333333333333e-01,  1.884601505360014e-01
  2.375000000000000e-01,  1.494595706909450e-01
  2.416666666666667e-01,  1.102851548785564e-01
  2.458333333333333e-01,  7.094702077778729e-02
  2.500000000000000e-01,  3.145477675500920e-02
  2.541666666666667e-01, -8.182972262482961e-03
  2.583333333333333e-01, -4.795919145307519e-02
  2.625000000000000e-01, -8.786893246924574e-02
  2.666666666666667e-01, -1.279097866506435e-01
  2.708333333333334e-01, -1.680824525456148e-01
  2.750000000000000e-01, -2.083911728897285e-01
  2.791666666666667e-01, -2.488442587596626e-01
  2.833333333333333e-01, -2.894545841808929e-01
  2.875000000000000e-01, -3.302401788682812e-01
  2.916666666666667e-01, -3.712246837675110e-01
  2.958333333333333e-01, -4.124381805961219e-01
  3.000000000000000e-01, -4.539175799065792e-01
  3.041666666666666e-01, -4.957074073320598e-01
  3.083333333333333e-01, -5.378601560572002e-01
  3.125000000000000e-01, -5.804371850789823e-01
  3.166666666666667e-01, -6.235072472903540e-01
  3.208333333333334e-01, -6.671475326763135e-01
  3.250000000000000e-01, -7.114401960078660e-01
  3.291666666666667e-01, -7.564614378694487e-01
  3.333333333333334e-01, -8.022806616342195e-01
  3.375000000000000e-01, -8.489390656772969e-01
  3.416666666666667e-01, -8.964283414040304e-01
  3.458333333333333e-01, -9.446680153762511e-01
