Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  4.583333333333333e-02,  3.243504696407599e-02, -1.375654553231649e-01,  1.210280171686352e+00,  9.036934154123104e-01,  1.188042350878776e+00,  8.472160833857613e-01,  1.356960762832955e-03,  1.998431297610280e-15, -1.888599720103914e-02,  4.347930748605534e-03,  6.030038120999435e-03, -6.051391477028192e-02,  7.677956065950702e-03,  1.329122198432067e-02, -1.068607587952494e-01,  1.104708634694716e-02,  2.082794328209612e-02, -1.537518604393828e-01,  1.425040867931249e-02,  2.826291384179811e-02, -1.983352693782173e-01,  1.743881433095860e-02,  3.506280789115664e-02, -2.427110699631163e-01,  1.909701794787362e-02,  4.243150044715445e-02, -2.657897246492323e-01, -1.937751770270599e-02,  5.287593030595471e-03,  1.368928330477505e-01, -1.937751770270646e-02,  5.287593030604880e-03,  1.368928330477523e-01, -1.937751770270443e-02,  5.287593030614339e-03,  1.368928330477528e-01, -1.937751770270082e-02,  5.287593030622422e-03,  1.368928330477516e-01, -1.937751770269415e-02,  5.287593030630589e-03,  1.368928330477490e-01, -1.937751770268615e-02,  5.287593030637228e-03,  1.368928330477451e-01,  8.498444149284576e-02,  3.405059105692297e-01
  5.000000000000000e-02,  3.240384185267787e-02, -1.376671185564972e-01,  1.210462978518771e+00,  9.022567493071637e-01,  1.188641000944530e+00,  8.468299699635716e-01,  1.383785909256711e-03,  1.221263540865099e-14, -1.886848824882389e-02,  4.433883034089420e-03,  5.999324615950491e-03, -6.045781313934727e-02,  7.829738122691438e-03,  1.322352423425743e-02, -1.067616896327781e-01,  1.126547122336645e-02,  2.072185785968172e-02, -1.536093191715125e-01,  1.453211859272009e-02,  2.811895900608894e-02, -1.981513954355798e-01,  1.778355440020653e-02,  3.488421835233123e-02, -2.424860558165144e-01,  1.947453829779833e-02,  4.221537907660992e-02, -2.655433145940375e-01, -1.953749534640562e-02,  5.278220647642154e-03,  1.368910635026522e-01, -1.953749534640893e-02,  5.278220647732321e-03,  1.368910635026709e-01, -1.953749534639141e-02,  5.278220647818815e-03,  1.368910635026765e-01, -1.953749534635340e-02,  5.278220647899217e-03,  1.368910635026687e-01, -1.953749534629629e-02,  5.278220647971048e-03,  1.368910635026481e-01, -1.953749534622139e-02,  5.278220648031518e-03,  1.368910635026148e-01,  8.521956092870009e-02,  3.404695435130119e-01
  5.416666666666666e-02,  3.233627289301398e-02, -1.378188456240270e-01,  1.210654346823867e+00,  9.007268420961423e-01,  1.189686873913618e+00,  8.461803708512324e-01,  1.406629757730779e-03,  2.303747058572048e-14, -1.884598920753128e-02,  4.507078570651009e-03,  5.957091112964958e-03, -6.038572242294011e-02,  7.958993197426928e-03,  1.313043446397970e-02, -1.066343855459785e-01,  1.145144415144951e-02,  2.057598199830972e-02, -1.534261533358158e-01,  1.477201806893514e-02,  2.792100970086688e-02, -1.979151170239679e-01,  1.807712930867598e-02,  3.463864358602169e-02, -2.421969121544554e-01,  1.979602834805196e-02,  4.191819506782824e-02, -2.652266771437084e-01, -1.968813596208024e-02,  5.268881721380211e-03,  1.368987080474053e-01, -1.968813596208441e-02,  5.268881721500095e-03,  1.368987080474320e-01, -1.968813596206122e-02,  5.268881721615347e-03,  1.368987080474416e-01, -1.968813596201194e-02,  5.268881721721789e-03,  1.368987080474338e-01, -1.968813596193754e-02,  5.268881721816176e-03,  1.368987080474088e-01, -1.968813596183998e-02,  5.268881721896812e-03,  1.368987080473670e-01,  8.543948771724444e-02,  3.404624186983903e-01
  5.833333333333333e-02,  3.223783107283889e-02, -1.380137479483468e-01,  1.210852741988283e+00,  8.991324188147264e-01,  1.191123049239822e+00,  8.453140588406493e-01,  1.425776705906703e-03,  5.329149612558300e-14, -1.881947871752937e-02,  4.568428616123709e-03,  5.904660757697338e-03, -6.030077834928998e-02,  8.067330468817214e-03,  1.301486910985873e-02, -1.064843838776876e-01,  1.160732042646834e-02,  2.039488588509531e-02, -1.532103300922531e-01,  1.497309376909824e-02,  2.767526753728200e-02, -1.976367115396989e-01,  1.832319395706799e-02,  3.433377727530774e-02, -2.418562158515172e-01,  2.006549053253064e-02,  4.154925898483496e-02, -2.648535850687812e-01, -1.982936898067061e-02,  5.259671356804971e-03,  1.369146751653061e-01, -1.982936898067966e-02,  5.259671357067994e-03,  1.369146751653665e-01, -1.982936898062963e-02,  5.259671357319828e-03,  1.369146751653901e-01, -1.982936898052229e-02,  5.259671357553381e-03,  1.369146751653769e-01, -1.982936898036084e-02,  5.259671357760657e-03,  1.369146751653267e-01, -1.982936898014842e-02,  5.259671357936982e-03,  1.369146751652411e-01,  8.564461646388861e-02,  3.404813661117753e-01
  6.250000000000000e-02,  3.211377297128806e-02, -1.382453193463702e-01,  1.211056362854807e+00,  8.974971270880368e-01,  1.192890726393384e+00,  8.442720167942473e-01,  1.441554451813022e-03,  2.731189054597329e-14, -1.878980844871107e-02,  4.618983170566865e-03,  5.843652722075745e-03, -6.020570981280070e-02,  8.156604118892586e-03,  1.288039710026127e-02, -1.063165035483328e-01,  1.173576785605754e-02,  2.018416219151161e-02, -1.529687829307243e-01,  1.513878708481540e-02,  2.738932160803640e-02, -1.973251229761497e-01,  1.852595971867688e-02,  3.397903440482816e-02, -2.414749120428766e-01,  2.028753667152786e-02,  4.111996443682845e-02, -2.644360242456281e-01, -1.996112575048298e-02,  5.250611101225757e-03,  1.369379822030482e-01, -1.996112575048719e-02,  5.250611101350922e-03,  1.369379822030777e-01, -1.996112575046403e-02,  5.250611101469709e-03,  1.369379822030904e-01, -1.996112575041342e-02,  5.250611101580181e-03,  1.369379822030857e-01, -1.996112575033734e-02,  5.250611101679371e-03,  1.369379822030639e-01, -1.996112575023812e-02,  5.250611101762148e-03,  1.369379822030249e-01,  8.583473031292506e-02,  3.405235544327617e-01
  6.666666666666667e-02,  3.196906471309126e-02, -1.385082714757690e-01,  1.211263021218243e+00,  8.958441945023461e-01,  1.194935575526586e+00,  8.430874028989717e-01,  1.454184238319335e-03,  6.017497542635460e-14, -1.875770059324464e-02,  4.659451132946036e-03,  5.775446652411051e-03, -6.010283083801771e-02,  8.228065983198059e-03,  1.273005940842721e-02, -1.061348308644585e-01,  1.183858758809098e-02,  1.994857625951136e-02, -1.527073912520181e-01,  1.527142144244450e-02,  2.706963834369544e-02, -1.969879355831281e-01,  1.868826986627189e-02,  3.358243719107552e-02, -2.410622818880146e-01,  2.046528039552407e-02,  4.064001956459782e-02, -2.639841583490571e-01, -2.008364706219929e-02,  5.241793613700829e-03,  1.369671941685065e-01, -2.008364706218549e-02,  5.241793613841661e-03,  1.369671941685349e-01, -2.008364706213954e-02,  5.241793613975265e-03,  1.369671941685454e-01, -2.008364706206282e-02,  5.241793614096557e-03,  1.369671941685376e-01, -2.008364706195709e-02,  5.241793614203112e-03,  1.369671941685119e-01, -2.008364706182463e-02,  5.241793614289802e-03,  1.369671941684683e-01,  8.601067216591324e-02,  3.405847469909899e-01
  7.083333333333333e-02,  3.180796168439747e-02, -1.387981832831977e-01,  1.211470576841713e+00,  8.941911437803566e-01,  1.197208697240430e+00,  8.417859239732832e-01,  1.463878812784769e-03,  1.264007490173270e-13, -1.872371463069251e-02,  4.690514181553937e-03,  5.701442900304107e-03, -5.999393409161544e-02,  8.282919828821017e-03,  1.256694264570284e-02, -1.059425314734762e-01,  1.191751160943951e-02,  1.969296494802823e-02, -1.524307098073213e-01,  1.537323105292233e-02,  2.672278122124341e-02, -1.966310248523249e-01,  1.881285849619249e-02,  3.315212824565766e-02, -2.406255154688278e-01,  2.060171577772286e-02,  4.011927820609937e-02, -2.635058611436359e-01, -2.019707202144163e-02,  5.233260833601202e-03,  1.370011310967458e-01, -2.019707202141626e-02,  5.233260833946669e-03,  1.370011310968158e-01, -2.019707202131332e-02,  5.233260834273942e-03,  1.370011310968426e-01, -2.019707202113504e-02,  5.233260834573678e-03,  1.370011310968261e-01, -2.019707202088641e-02,  5.233260834835560e-03,  1.370011310967652e-01, -2.019707202057321e-02,  5.233260835052496e-03,  1.370011310966630e-01,  8.617271559593918e-02,  3.406614855321237e-01
  7.500000000000000e-02,  3.163394330087973e-02, -1.391113168049213e-01,  1.211676953883650e+00,  8.925519062123924e-01,  1.199667536750217e+00,  8.403871828326196e-01,  1.470819576708734e-03,  7.854942913174535e-14, -1.868828428979968e-02,  4.712753557834166e-03,  5.622976997126732e-03, -5.988040931433478e-02,  8.322192062926803e-03,  1.239399054886911e-02, -1.057420595012539e-01,  1.197401672068026e-02,  1.942194122518487e-02, -1.521422696067523e-01,  1.544612094470586e-02,  2.635500990439277e-02, -1.962589456805799e-01,  1.890205687069874e-02,  3.269587327124834e-02, -2.401701868015730e-01,  2.069939575345084e-02,  3.956713808063252e-02, -2.630072366637965e-01, -2.030141862076117e-02,  5.225022140947738e-03,  1.370388310239661e-01, -2.030141862075039e-02,  5.225022141198277e-03,  1.370388310240178e-01, -2.030141862068358e-02,  5.225022141436667e-03,  1.370388310240387e-01, -2.030141862056324e-02,  5.225022141655805e-03,  1.370388310240285e-01, -2.030141862039201e-02,  5.225022141847746e-03,  1.370388310239874e-01, -2.030141862017438e-02,  5.225022142008241e-03,  1.370388310239161e-01,  8.632067468348660e-02,  3.407509815609339e-01
  7.916666666666666e-02,  3.145012821347136e-02, -1.394448715564677e-01,  1.211879965047766e+00,  8.909407097875269e-01,  1.202276084388148e+00,  8.389059547208599e-01,  1.475087882528345e-03,  7.094428606272615e-14, -1.865176222804229e-02,  4.726429928326113e-03,  5.541042605882362e-03, -5.976338647946836e-02,  8.346342993078019e-03,  1.221339331875672e-02, -1.055354103532493e-01,  1.200876521474693e-02,  1.913893723427158e-02, -1.518449416509844e-01,  1.549094545553332e-02,  2.597098171189415e-02, -1.958754015723447e-01,  1.895691047802603e-02,  3.221945011070903e-02, -2.397008280174397e-01,  2.075946522286242e-02,  3.899059128460884e-02, -2.624932479858104e-01, -2.039684895524303e-02,  5.217174030173993e-03,  1.370790418556589e-01, -2.039684895523279e-02,  5.217174030406778e-03,  1.370790418557081e-01, -2.039684895517099e-02,  5.217174030628738e-03,  1.370790418557291e-01, -2.039684895505971e-02,  5.217174030831294e-03,  1.370790418557216e-01, -2.039684895490131e-02,  5.217174031010206e-03,  1.370790418556854e-01, -2.039684895469995e-02,  5.217174031159480e-03,  1.370790418556218e-01,  8.645529185590013e-02,  3.408495428464495e-01
  8.333333333333333e-02,  3.125899404431619e-02, -1.397964040393566e-01,  1.212077646768270e+00,  8.893677093834464e-01,  1.205003085741966e+00,  8.373532303627044e-01,  1.476775818517318e-03,  7.671752556525400e-14, -1.861440928578711e-02,  4.731838359378332e-03,  5.456644632178488e-03, -5.964370136349847e-02,  8.355893673236501e-03,  1.202736593699437e-02, -1.053240599165942e-01,  1.202250678703789e-02,  1.884742395122563e-02, -1.515408494546694e-01,  1.550867166992367e-02,  2.557540665721604e-02, -1.954831317975022e-01,  1.897860277952190e-02,  3.172870197954779e-02, -2.392207912742125e-01,  2.078322017905564e-02,  3.839670902588407e-02, -2.619675660139893e-01, -2.048336389813195e-02,  5.209749963568798e-03,  1.371208712462317e-01, -2.048336389812313e-02,  5.209749963835869e-03,  1.371208712462893e-01, -2.048336389805572e-02,  5.209749964089219e-03,  1.371208712463149e-01, -2.048336389793154e-02,  5.209749964322884e-03,  1.371208712463084e-01, -2.048336389775464e-02,  5.209749964528437e-03,  1.371208712462693e-01, -2.048336389752812e-02,  5.209749964700432e-03,  1.371208712461988e-01,  8.657655915658607e-02,  3.409545774575465e-01
