Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  2.090000000000000e+00,  4.502270649590616e-01,  1.525371574434580e-01,  2.274762352649315e-01,  3.053787825343728e-01, -9.699119670551307e-02,  7.136551071048992e-02
  2.100000000000000e+00,  4.483149310585477e-01,  1.507005045045668e-01,  2.330036481803829e-01,  2.943751572211173e-01, -9.302265979390481e-02,  7.054550954344452e-02
  2.110000000000000e+00,  4.473421782207888e-01,  1.478661879350978e-01,  2.361508809044271e-01,  2.891188250574962e-01, -8.954315911222147e-02,  6.993889400580013e-02
  2.120000000000000e+00,  4.472557351024441e-01,  1.439594847137058e-01,  2.369877810763959e-01,  2.894639055610921e-01, -8.670124702553220e-02,  6.948302442443592e-02
  2.130000000000000e+00,  4.479099525503714e-01,  1.389105203546830e-01,  2.356913171012990e-01,  2.951143903492859e-01, -8.458691523901557e-02,  6.910704866624540e-02
  2.140000000000000e+00,  4.490819805126806e-01,  1.326667506033121e-01,  2.325282220479334e-01,  3.056412668054937e-01, -8.324747188207653e-02,  6.874122430631081e-02
  2.150000000000000e+00,  4.504821442547134e-01,  1.252045108848741e-01,  2.278294583799990e-01,  3.204901688655952e-01, -8.269880792201226e-02,  6.832511640495675e-02
  2.160000000000000e+00,  4.517664926220238e-01,  1.165419088742026e-01,  2.219557028065392e-01,  3.389871203175772e-01, -8.293423713349159e-02,  6.781459599257911e-02
  2.170000000000000e+00,  4.525553579513972e-01,  1.067501696023161e-01,  2.152589891465669e-01,  3.603505020327959e-01, -8.393201105509013e-02,  6.718576754775218e-02
  2.180000000000000e+00,  4.524595240142338e-01,  9.595989707525998e-02,  2.080478357969791e-01,  3.837156185506357e-01, -8.566259037889586e-02,  6.643483224743760e-02
  2.190000000000000e+00,  4.511116832137794e-01,  8.435944101230497e-02,  2.005626703808416e-01,  4.081735821314443e-01, -8.809584956534736e-02,  6.557426400031846e-02
  2.200000000000000e+00,  4.481974702832132e-01,  7.218455122309786e-02,  1.929653181742044e-01,  4.328204354114984e-01, -9.120724784535099e-02,  6.462690049049059e-02
  2.210000000000000e+00,  4.434795566219716e-01,  5.970099695546849e-02,  1.853422521457140e-01,  4.568081783882109e-01, -9.498143132558090e-02,  6.361998633031256e-02
  2.220000000000000e+00,  4.368104259963211e-01,  4.718375788721074e-02,  1.777180071628862e-01,  4.793886012180211e-01, -9.941218094771655e-02,  6.258066579867616e-02
  2.230000000000000e+00,  4.281330154703618e-01,  3.489693350027445e-02,  1.700737012277029e-01,  4.999434678180394e-01, -1.044988325974640e-01,  6.153337854131453e-02
  2.240000000000000e+00,  4.174714127159963e-01,  2.307757121149723e-02,  1.623659611623156e-01,  5.179988288557400e-01, -1.102405277434322e-01,  6.049877959411580e-02
