Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  6.250000000000000e+00, -1.665102950754005e-01,  4.662888588714434e-01,  9.176810585096493e-01,  1.183844446737065e+00, -1.138468784260021e+00, -1.633002657029879e+00,  2.437107817706845e-03,  2.220461348526822e-16, -1.262632433802910e-02,  7.808903771233703e-03,  5.823339709372591e-03, -4.045686900829413e-02,  1.378964467132593e-02,  1.283562379114264e-02, -7.144227467546833e-02,  1.984061826733469e-02,  2.011400040023708e-02, -1.027915463937638e-01,  2.559380001930854e-02,  2.729411409596646e-02, -1.325979990456685e-01,  3.132019134359271e-02,  3.386092051453467e-02, -1.622656541332151e-01,  3.429833272310853e-02,  4.097702809238458e-02, -1.776949998146111e-01,  1.383413352730291e-02,  2.629999681411823e-02,  1.936198864900219e-02,  1.383413352730351e-02,  2.629999681411877e-02,  1.936198864900340e-02,  1.383413352730401e-02,  2.629999681411866e-02,  1.936198864900301e-02,  1.383413352730462e-02,  2.629999681411744e-02,  1.936198864900201e-02,  1.383413352730502e-02,  2.629999681411567e-02,  1.936198864900030e-02,  1.383413352730501e-02,  2.629999681411256e-02,  1.936198864899802e-02,  2.131123081591119e-01,  4.335876514485806e-03
  6.254166666666666e+00, -1.667161621755174e-01,  4.665121743870322e-01,  9.175935868125560e-01,  1.179937630291057e+00, -1.140999972573251e+00, -1.639002830014658e+00,  2.420425168935755e-03,  2.220461350535998e-16, -1.263039267175475e-02,  7.755449755801260e-03,  5.638105835138827e-03, -4.046990463451343e-02,  1.369525089972126e-02,  1.242733706192941e-02, -7.146529412338375e-02,  1.970480397814401e-02,  1.947419671259237e-02, -1.028246669048233e-01,  2.541860367660941e-02,  2.642591908243986e-02, -1.326407235074370e-01,  3.110579633496282e-02,  3.278384278852000e-02, -1.623179378236614e-01,  3.406355154762131e-02,  3.967359500297441e-02, -1.777522550015564e-01,  1.331607531229975e-02,  2.689066426228379e-02,  1.945397786991407e-02,  1.331607531230030e-02,  2.689066426228567e-02,  1.945397786991673e-02,  1.331607531230075e-02,  2.689066426228523e-02,  1.945397786991790e-02,  1.331607531230064e-02,  2.689066426228290e-02,  1.945397786991668e-02,  1.331607531230080e-02,  2.689066426227846e-02,  1.945397786991385e-02,  1.331607531230058e-02,  2.689066426227158e-02,  1.945397786990863e-02,  2.183192829128447e-01,  4.568690240301321e-03
  6.258333333333334e+00, -1.669124586325401e-01,  4.667320451434795e-01,  9.175023766083565e-01,  1.175981077650082e+00, -1.143554188060219e+00, -1.645075029780387e+00,  2.403564201679627e-03,  4.440922704160878e-16, -1.263427280510541e-02,  7.701424377917165e-03,  5.451444040983767e-03, -4.048233723504750e-02,  1.359984816637006e-02,  1.201590295615371e-02, -7.148724869584643e-02,  1.956753798912126e-02,  1.882946094416353e-02, -1.028562552670945e-01,  2.524153468484864e-02,  2.555103137859728e-02, -1.326814715434111e-01,  3.088910968824427e-02,  3.169846214950089e-02, -1.623678028801443e-01,  3.382626082917538e-02,  3.836011408573393e-02, -1.778068615740297e-01,  1.279529426937220e-02,  2.748626686762056e-02,  1.954992887363841e-02,  1.279529426937320e-02,  2.748626686762311e-02,  1.954992887364196e-02,  1.279529426937348e-02,  2.748626686762289e-02,  1.954992887364285e-02,  1.279529426937354e-02,  2.748626686762046e-02,  1.954992887364147e-02,  1.279529426937337e-02,  2.748626686761501e-02,  1.954992887363852e-02,  1.279529426937314e-02,  2.748626686760768e-02,  1.954992887363308e-02,  2.235698439073886e-01,  4.805876545559056e-03
  6.262500000000000e+00, -1.670992307427029e-01,  4.669480636914917e-01,  9.174074919592450e-01,  1.171975170429592e+00, -1.146130261155387e+00, -1.651216751063776e+00,  2.386548015740893e-03,  4.440922706363925e-16, -1.263796916466984e-02,  7.646901653242495e-03,  5.263464515106177e-03, -4.049418099342875e-02,  1.350356717459374e-02,  1.160156434720739e-02, -7.150816343938070e-02,  1.942900835693954e-02,  1.818017368849202e-02, -1.028863475176572e-01,  2.506283563147079e-02,  2.466996743881836e-02, -1.327202896403400e-01,  3.067042826772473e-02,  3.060541930780242e-02, -1.624153061904185e-01,  3.358678565997692e-02,  3.703736070071632e-02, -1.778588818290576e-01,  1.227204955919600e-02,  2.808643431521165e-02,  1.964996219407870e-02,  1.227204955919661e-02,  2.808643431521387e-02,  1.964996219408203e-02,  1.227204955919706e-02,  2.808643431521387e-02,  1.964996219408298e-02,  1.227204955919717e-02,  2.808643431521121e-02,  1.964996219408176e-02,  1.227204955919717e-02,  2.808643431520610e-02,  1.964996219407832e-02,  1.227204955919689e-02,  2.808643431519844e-02,  1.964996219407260e-02,  2.288607444787634e-01,  5.047635499435938e-03
  6.266666666666667e+00, -1.672765589726050e-01,  4.671598409532434e-01,  9.173089746292021e-01,  1.167920302328328e+00, -1.148727031750701e+00, -1.657425474994412e+00,  2.369398312501085e-03,  6.661384061576533e-16, -1.264148503073189e-02,  7.591951116655025e-03,  5.074265643106292e-03, -4.050544642024016e-02,  1.340653071515719e-02,  1.118453809356215e-02, -7.152805691448941e-02,  1.928939175364194e-02,  1.752667477256803e-02, -1.029149703614683e-01,  2.488273441808958e-02,  2.378318839845324e-02, -1.327572122468144e-01,  3.045003096603258e-02,  2.950528634528304e-02, -1.624604899106480e-01,  3.334543145170334e-02,  3.570602715675068e-02, -1.779083619313050e-01,  1.174657570803321e-02,  2.869081009055278e-02,  1.975416333396755e-02,  1.174657570803388e-02,  2.869081009055545e-02,  1.975416333397099e-02,  1.174657570803421e-02,  2.869081009055556e-02,  1.975416333397194e-02,  1.174657570803438e-02,  2.869081009055278e-02,  1.975416333397054e-02,  1.174657570803405e-02,  2.869081009054700e-02,  1.975416333396699e-02,  1.174657570803399e-02,  2.869081009053890e-02,  1.975416333396105e-02,  2.341888716440818e-01,  5.294074348076063e-03
  6.270833333333333e+00, -1.674445428644002e-01,  4.673670021137748e-01,  9.172068543154738e-01,  1.163816769539485e+00, -1.151343214733443e+00, -1.663698694063618e+00,  2.352142232461784e-03,  6.661384062400261e-16, -1.264482450736663e-02,  7.536659730892312e-03,  4.883942543599662e-03, -4.051614666562807e-02,  1.330889235446129e-02,  1.076503385270650e-02, -7.154695234285169e-02,  1.914890913142877e-02,  1.686929273911325e-02, -1.029421572100107e-01,  2.470151606639049e-02,  2.289114008043045e-02, -1.327922824626406e-01,  3.022826657598816e-02,  2.839861634729346e-02, -1.625034067838477e-01,  3.310258016281951e-02,  3.436678277391900e-02, -1.779553596389589e-01,  1.121900640126603e-02,  2.929902837985086e-02,  1.986261535728269e-02,  1.121900640126686e-02,  2.929902837985397e-02,  1.986261535728613e-02,  1.121900640126692e-02,  2.929902837985408e-02,  1.986261535728686e-02,  1.121900640126703e-02,  2.929902837985108e-02,  1.986261535728580e-02,  1.121900640126703e-02,  2.929902837984565e-02,  1.986261535728197e-02,  1.121900640126665e-02,  2.929902837983699e-02,  1.986261535727570e-02,  2.395510894960947e-01,  5.545270648181906e-03
  6.275000000000000e+00, -1.676033061096559e-01,  4.675692050713010e-01,  9.171011411618288e-01,  1.159664758351291e+00, -1.153977443087021e+00, -1.670033901307800e+00,  2.334809539575442e-03,  7.771614739106900e-16, -1.264799242457001e-02,  7.481122864668078e-03,  4.692590062456302e-03, -4.052629720571499e-02,  1.321082050291510e-02,  1.034326068094558e-02, -7.156487705355598e-02,  1.900780280014324e-02,  1.620835518877300e-02, -1.029679473845311e-01,  2.451949314877167e-02,  2.199426702930507e-02, -1.328255510110413e-01,  3.000551760536125e-02,  2.728596081324692e-02, -1.625441188821240e-01,  3.285865067259100e-02,  3.302029495306281e-02, -1.779999429263733e-01,  1.068944744694272e-02,  2.991071876540684e-02,  1.997538427909403e-02,  1.068944744694305e-02,  2.991071876540984e-02,  1.997538427909753e-02,  1.068944744694372e-02,  2.991071876541040e-02,  1.997538427909853e-02,  1.068944744694350e-02,  2.991071876540718e-02,  1.997538427909709e-02,  1.068944744694333e-02,  2.991071876540140e-02,  1.997538427909325e-02,  1.068944744694305e-02,  2.991071876539252e-02,  1.997538427908720e-02,  2.449442402471682e-01,  5.801252713959187e-03
  6.279166666666667e+00, -1.677529953508511e-01,  4.677661546559065e-01,  9.169918223435357e-01,  1.155464311703601e+00, -1.156628285927876e+00, -1.676428563503400e+00,  2.317431162029554e-03,  7.771614737524631e-16, -1.265099499944482e-02,  7.425439617103419e-03,  4.500305822124183e-03, -4.053591796114216e-02,  1.311249015840635e-02,  9.919433754637568e-03, -7.158186622421286e-02,  1.886632454773055e-02,  1.554419931258817e-02, -1.029923914987713e-01,  2.433699046409987e-02,  2.109302680352207e-02, -1.328570831822213e-01,  2.978218152395361e-02,  2.616788738750947e-02, -1.625827061037982e-01,  3.261407824501073e-02,  3.166725063295577e-02, -1.780421992891571e-01,  1.015803238746383e-02,  3.052550806277918e-02,  2.009251152597214e-02,  1.015803238746433e-02,  3.052550806278252e-02,  2.009251152597570e-02,  1.015803238746472e-02,  3.052550806278285e-02,  2.009251152597659e-02,  1.015803238746488e-02,  3.052550806277996e-02,  2.009251152597531e-02,  1.015803238746444e-02,  3.052550806277429e-02,  2.009251152597108e-02,  1.015803238746399e-02,  3.052550806276518e-02,  2.009251152596520e-02,  2.503651292934997e-01,  6.061997213925185e-03
  6.283333333333333e+00, -1.678937781254249e-01,  4.679576120056833e-01,  9.168788604290125e-01,  1.151215309408272e+00, -1.159294267083736e+00, -1.682880096644630e+00,  2.300038367061657e-03,  5.551153382026715e-16, -1.265384078451057e-02,  7.369710173689975e-03,  4.307190269293944e-03, -4.054503633562268e-02,  1.301407823723070e-02,  9.493774475246285e-03, -7.159796824669308e-02,  1.872472892235114e-02,  1.487717205662029e-02, -1.030155591792281e-01,  2.415433637183619e-02,  2.018789019880701e-02, -1.328869687922633e-01,  2.955866015881542e-02,  2.504498013654315e-02, -1.626192783605260e-01,  3.236930291563513e-02,  3.030835662568195e-02, -1.780822490901281e-01,  9.624940718149504e-03,  3.114302281876056e-02,  2.021401504261898e-02,  9.624940718150059e-03,  3.114302281876344e-02,  2.021401504262247e-02,  9.624940718150283e-03,  3.114302281876434e-02,  2.021401504262303e-02,  9.624940718150336e-03,  3.114302281876133e-02,  2.021401504262197e-02,  9.624940718150003e-03,  3.114302281875556e-02,  2.021401504261798e-02,  9.624940718149559e-03,  3.114302281874646e-02,  2.021401504261204e-02,  2.558105351207677e-01,  6.327440910592981e-03
  6.287500000000000e+00, -1.680258458994027e-01,  4.681433965620950e-01,  9.167621948998443e-01,  1.146917507002272e+00, -1.161973931769934e+00, -1.689385854377550e+00,  2.282660738633180e-03,  5.551153379416015e-16, -1.265654123001678e-02,  7.314029326424112e-03,  4.113343116675885e-03, -4.055368901768518e-02,  1.291575213137942e-02,  9.066502626415628e-03, -7.161324790880555e-02,  1.858325676854151e-02,  1.420761783173492e-02, -1.030375436429656e-01,  2.397184155417915e-02,  1.927932457069659e-02, -1.329153280883721e-01,  2.933533370459942e-02,  2.391781885893203e-02, -1.626539828037833e-01,  3.212474103066634e-02,  2.894431457852267e-02, -1.781202534729489e-01,  9.090390307881788e-03,  3.176289524484255e-02,  2.033989824210317e-02,  9.090390307882341e-03,  3.176289524484654e-02,  2.033989824210622e-02,  9.090390307882506e-03,  3.176289524484664e-02,  2.033989824210693e-02,  9.090390307882506e-03,  3.176289524484364e-02,  2.033989824210571e-02,  9.090390307882173e-03,  3.176289524483809e-02,  2.033989824210177e-02,  9.090390307881731e-03,  3.176289524482933e-02,  2.033989824209595e-02,  2.612772613582161e-01,  6.597506845712827e-03
