Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  2.125000000000000e-01,  5.255494750713377e-02,  2.821596305696457e-01,  6.452908924381408e-01,  3.547211851138248e-01, -1.569625632570573e-01, -2.570945429999411e-02
  2.166666666666667e-01,  5.292375940003916e-02,  2.833075981180921e-01,  6.444401033818424e-01,  3.551774878601444e-01, -1.567606381957312e-01, -2.557513669530264e-02
  2.208333333333333e-01,  5.330057396511620e-02,  2.844666514955116e-01,  6.435686734940197e-01,  3.556397529513011e-01, -1.565524849468508e-01, -2.543449135889220e-02
  2.250000000000000e-01,  5.368500959486347e-02,  2.856346907691591e-01,  6.426767589014972e-01,  3.561063164551561e-01, -1.563377492615990e-01, -2.528715152714008e-02
  2.291666666666667e-01,  5.407670334713510e-02,  2.868104966966978e-01,  6.417650023007119e-01,  3.565761843685059e-01, -1.561161694777375e-01, -2.513345905461185e-02
  2.333333333333333e-01,  5.447531631920588e-02,  2.879929636441203e-01,  6.408340346768778e-01,  3.570483497424367e-01, -1.558874555241803e-01, -2.497379729333564e-02
  2.375000000000000e-01,  5.488036712407427e-02,  2.891816933682301e-01,  6.398849271120708e-01,  3.575223568099092e-01, -1.556514423333010e-01, -2.480916711750276e-02
  2.416666666666667e-01,  5.529192316148820e-02,  2.903746116481851e-01,  6.389173505181155e-01,  3.579960688658326e-01, -1.554074917032112e-01, -2.463884298523402e-02
  2.458333333333333e-01,  5.570960916025477e-02,  2.915715738657596e-01,  6.379323201939341e-01,  3.584690554797017e-01, -1.551554032836832e-01, -2.446388154774569e-02
  2.500000000000000e-01,  5.613326160968009e-02,  2.927719425889923e-01,  6.369303588599444e-01,  3.589403385544147e-01, -1.548948143660615e-01, -2.428476696634807e-02
  2.541666666666667e-01,  5.656277740078528e-02,  2.939751981229934e-01,  6.359119500913408e-01,  3.594089718680166e-01, -1.546253578136937e-01, -2.410199430211406e-02
  2.583333333333333e-01,  5.699811933929979e-02,  2.951809362447462e-01,  6.348775341191203e-01,  3.598740508558006e-01, -1.543466674847966e-01, -2.391606340239642e-02
  2.625000000000000e-01,  5.743932098006593e-02,  2.963888657692495e-01,  6.338275042123090e-01,  3.603347226569830e-01, -1.540583838026473e-01, -2.372747331955827e-02
  2.666666666666667e-01,  5.788649076380252e-02,  2.975988052811653e-01,  6.327622034731204e-01,  3.607901958168757e-01, -1.537601590764533e-01, -2.353671681939461e-02
  2.708333333333333e-01,  5.833981543332792e-02,  2.988106790706915e-01,  6.316819220599472e-01,  3.612397494978740e-01, -1.534516624955326e-01, -2.334427500152087e-02
