Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  2.916666666666667e+00,  5.393887415058396e-03, -4.801592827046889e-01,  1.192359360341008e-02,  7.674658005154371e-02,  8.750384066137167e-01,  1.443822688015000e-01,  3.881458091062123e-01,  2.197877718122905e-01, -1.777086722245950e-01,  1.534953031759141e+00,  6.645450225725871e-01, -4.122407070653669e-01,  2.551572598259741e-01
  2.920833333333333e+00,  5.705882656329773e-03, -4.810374535079660e-01,  1.782995147271332e-02,  7.885189090226821e-02,  8.744028667580691e-01,  1.448968330572326e-01,  3.871586897158776e-01,  2.221645181406098e-01, -1.702487602353415e-01,  1.557379997555699e+00,  6.589132681917712e-01, -4.097166598196571e-01,  2.531736535258410e-01
  2.925000000000000e+00,  6.031164313820061e-03, -4.822220947555366e-01,  2.360733979158975e-02,  8.094383081006085e-02,  8.737689074109802e-01,  1.454084504169627e-01,  3.859049705158407e-01,  2.243417701597528e-01, -1.630139242873684e-01,  1.579412520549998e+00,  6.532812381692993e-01, -4.067906621186992e-01,  2.511143905142077e-01
  2.929166666666667e+00,  6.365039129779967e-03, -4.836904155229638e-01,  2.923359690158550e-02,  8.301270268911215e-02,  8.731398284993279e-01,  1.459144210639254e-01,  3.844009662206169e-01,  2.263174577329509e-01, -1.560101561408039e-01,  1.600964052909684e+00,  6.476942007101008e-01, -4.035095120976286e-01,  2.489883180111713e-01
  2.933333333333333e+00,  6.702372278901698e-03, -4.854286074303406e-01,  3.467817379670260e-02,  8.504590138628829e-02,  8.725188569709755e-01,  1.464123728189412e-01,  3.826866366936699e-01,  2.280743143579082e-01, -1.492386142254838e-01,  1.621952304582259e+00,  6.421821675098666e-01, -3.999262950942386e-01,  2.468028084594458e-01
  2.937500000000000e+00,  7.039495106508153e-03, -4.874019312553989e-01,  3.993435374575564e-02,  8.703810810256042e-02,  8.719084151379637e-01,  1.469002853457913e-01,  3.807690177834515e-01,  2.296178575684768e-01, -1.427147724466243e-01,  1.642302370535313e+00,  6.367907683721084e-01, -3.960933764025731e-01,  2.445709631803106e-01
  2.941666666666666e+00,  7.371881170312760e-03, -4.895931266365115e-01,  4.497740468068639e-02,  8.897813421513076e-02,  8.713111560986894e-01,  1.473763488522544e-01,  3.786935375000056e-01,  2.309293722849064e-01, -1.364439357355377e-01,  1.661943411944345e+00,  6.315412438682765e-01, -3.920686590469529e-01,  2.423025186071873e-01
  2.945833333333333e+00,  7.696332377915470e-03, -4.919696882369982e-01,  4.979990398199682e-02,  9.086017074499896e-02,  8.707291906165634e-01,  1.478389558378461e-01,  3.764816250796088e-01,  2.320071730252658e-01, -1.304427553727639e-01,  1.680812194378754e+00,  6.264647432468087e-01, -3.879078129804199e-01,  2.400116545194328e-01
  2.950000000000000e+00,  8.008569758868359e-03, -4.945174451826225e-01,  5.437538740214444e-02,  9.267214227745589e-02,  8.701648515104445e-01,  1.482867395212795e-01,  3.741924709496314e-01,  2.328263464789156e-01, -1.247157553091399e-01,  1.698849194965972e+00,  6.215679608966672e-01, -3.836703521587190e-01,  2.377086242860914e-01
  2.954166666666667e+00,  8.306376469583664e-03, -4.971996478349724e-01,  5.870237140122529e-02,  9.440998535133539e-02,  8.696198760907615e-01,  1.487183904860588e-01,  3.718451124873629e-01,  2.333891964407253e-01, -1.192846481269818e-01,  1.716003967110763e+00,  6.168760664453850e-01, -3.794095137142817e-01,  2.354097267778503e-01
  2.958333333333333e+00,  8.587325415909522e-03, -4.999873623646217e-01,  6.277159617801317e-02,  9.606711125792766e-02,  8.690960585699208e-01,  1.491327339478332e-01,  3.694740004638133e-01,  2.336889813728290e-01, -1.141666055800614e-01,  1.732231310209790e+00,  6.124019728887439e-01, -3.751779610101014e-01,  2.331295711104286e-01
  2.962500000000000e+00,  8.849206420396051e-03, -5.028534386356970e-01,  6.657275601175262e-02,  9.763659043749022e-02,  8.685951043772945e-01,  1.495287204584028e-01,  3.671161246901244e-01,  2.337180337946076e-01, -1.093781446261118e-01,  1.747491859884005e+00,  6.081534545170750e-01, -3.710257206277956e-01,  2.308822954550035e-01
  2.966666666666666e+00,  9.090602392394415e-03, -5.057660711742151e-01,  7.010148417756812e-02,  9.911350847613085e-02,  8.681185384750999e-01,  1.499053476783341e-01,  3.647977801675841e-01,  2.334759949905753e-01, -1.049401109242700e-01,  1.761753031002173e+00,  6.041405612981582e-01, -3.669978493393056e-01,  2.286829774677382e-01
