Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  2.916666666666667e+00,  1.320657125749024e-02,  3.824050498800826e-01,  9.542304478294982e-01,  1.549251184107209e+00, -1.003645366459490e+00, -1.520870389867568e+00,  3.180564420861606e-04,  2.220446070100369e-16, -3.524213770252417e-04,  1.019106389971100e-03,  1.122733739979730e-03, -1.129217427370687e-03,  1.799627119462347e-03,  2.474694698096771e-03, -1.994070811512151e-03,  2.589313615530973e-03,  3.877958014188363e-03, -2.869080292658820e-03,  3.340136580939251e-03,  5.262276344460358e-03, -3.701027168621648e-03,  4.087463243043962e-03,  6.528349680036036e-03, -4.529099977401366e-03,  4.476127644477294e-03,  7.900327698441418e-03, -4.959758267660801e-03, -2.736771708839111e-05, -2.155654964917509e-03,  9.165611442318157e-02, -2.736771709150082e-05, -2.155654964916954e-03,  9.165611442318296e-02, -2.736771709316673e-05, -2.155654964915732e-03,  9.165611442318196e-02, -2.736771709205612e-05, -2.155654964914177e-03,  9.165611442318007e-02, -2.736771708866877e-05, -2.155654964912179e-03,  9.165611442317671e-02, -2.736771708289357e-05, -2.155654964910846e-03,  9.165611442317302e-02, -1.819618499952993e-02,  2.109977674163809e-01
  2.920833333333333e+00,  1.305951184841516e-02,  3.819857032265002e-01,  9.558310534845662e-01,  1.547361523330667e+00, -1.004623422485302e+00, -1.521401898746070e+00,  2.968184067335632e-04,  8.881784276483625e-16, -3.559113744496389e-04,  9.510561489643241e-04,  1.370851203395752e-03, -1.140399966705038e-03,  1.679458057226678e-03,  3.021587473609207e-03, -2.013817916670039e-03,  2.416413693293228e-03,  4.734963617074634e-03, -2.897492538561432e-03,  3.117100888529391e-03,  6.425208045792395e-03, -3.737678110136071e-03,  3.814525244096090e-03,  7.971076040897347e-03, -4.573951249985700e-03,  4.177236804441152e-03,  9.646253022389589e-03, -5.008874310829917e-03,  8.327284362236156e-05, -2.427751946833143e-03,  9.164782404551003e-02,  8.327284360731276e-05, -2.427751946830810e-03,  9.164782404552291e-02,  8.327284360170420e-05, -2.427751946825702e-03,  9.164782404552693e-02,  8.327284360636873e-05, -2.427751946818593e-03,  9.164782404552223e-02,  8.327284362102881e-05, -2.427751946810042e-03,  9.164782404550846e-02,  8.327284364568438e-05, -2.427751946801268e-03,  9.164782404548547e-02, -2.065279636135297e-02,  2.109685061066209e-01
  2.925000000000000e+00,  1.292099223227740e-02,  3.815050938549093e-01,  9.575311772134723e-01,  1.545871764492467e+00, -1.006060534332031e+00, -1.521574304054962e+00,  2.603300468678714e-04,  7.771561235956248e-16, -3.585740989073261e-04,  8.341413005960996e-04,  1.614801558410437e-03, -1.148931784175372e-03,  1.472999601208998e-03,  3.559295238734725e-03, -2.028884145523999e-03,  2.119360106232326e-03,  5.577575895133019e-03, -2.919169913326092e-03,  2.733910707668092e-03,  7.568608423557252e-03, -3.765641270719040e-03,  3.345599575516221e-03,  9.389571954399701e-03, -4.608170925820370e-03,  3.663722425589283e-03,  1.136285570221336e-02, -5.046347831173703e-03,  2.608811075420692e-04, -2.694746887793240e-03,  9.162011591192620e-02,  2.608811075327956e-04, -2.694746887791575e-03,  9.162011591193389e-02,  2.608811075290751e-04, -2.694746887788910e-03,  9.162011591193672e-02,  2.608811075320181e-04, -2.694746887784133e-03,  9.162011591193346e-02,  2.608811075409585e-04, -2.694746887779301e-03,  9.162011591192518e-02,  2.608811075560628e-04, -2.694746887774193e-03,  9.162011591191180e-02, -2.315976397151620e-02,  2.108790270550377e-01
  2.929166666666667e+00,  1.279149083505059e-02,  3.809744928490416e-01,  9.593200833707609e-01,  1.544831032452058e+00, -1.007904651543478e+00, -1.521427186631876e+00,  2.087449316966566e-04,  3.330669097845824e-16, -3.593746753858194e-04,  6.688539064672203e-04,  1.853843953106081e-03, -1.151496966002418e-03,  1.181120676783613e-03,  4.086185030774893e-03, -2.033413967755503e-03,  1.699403069061513e-03,  6.403235922290402e-03, -2.925687447016040e-03,  2.192178777682960e-03,  8.689005089425814e-03, -3.774048692888294e-03,  2.682659813102885e-03,  1.077952959560930e-02, -4.618459435961873e-03,  2.937745745014263e-03,  1.304492259365175e-02, -5.057614644336107e-03,  5.047427206974826e-04, -2.956283490285139e-03,  9.157343538858605e-02,  5.047427206918185e-04, -2.956283490284028e-03,  9.157343538859071e-02,  5.047427206896528e-04, -2.956283490282585e-03,  9.157343538859210e-02,  5.047427206912077e-04, -2.956283490279920e-03,  9.157343538859039e-02,  5.047427206968163e-04, -2.956283490277032e-03,  9.157343538858584e-02,  5.047427207055902e-04, -2.956283490273923e-03,  9.157343538857779e-02, -2.571278219550029e-02,  2.107298602036708e-01
  2.933333333333333e+00,  1.267100624446133e-02,  3.804046236885512e-01,  9.611871692371542e-01,  1.544271643849983e+00, -1.010099941749257e+00, -1.521004165798802e+00,  1.425254056633222e-04,  8.881784251798864e-16, -3.574330868867992e-04,  4.566753960181815e-04,  2.087351454992195e-03, -1.145275789557631e-03,  8.064373215147301e-04,  4.600874984684845e-03, -2.022428070744190e-03,  1.160306551335179e-03,  7.209778253804340e-03, -2.909880876642450e-03,  1.496760505939461e-03,  9.783459597804413e-03, -3.753658693157568e-03,  1.831647719610507e-03,  1.213730354586940e-02, -4.593507350199236e-03,  2.005813509547085e-03,  1.468804216799438e-02, -5.030289940910574e-03,  8.134060770915744e-04, -3.211968014603859e-03,  9.150883107605454e-02,  8.134060770710283e-04, -3.211968014601861e-03,  9.150883107607112e-02,  8.134060770639760e-04, -3.211968014595864e-03,  9.150883107607662e-02,  8.134060770691403e-04, -3.211968014586368e-03,  9.150883107607062e-02,  8.134060770884649e-04, -3.211968014575928e-03,  9.150883107605377e-02,  8.134060771205613e-04, -3.211968014563988e-03,  9.150883107602537e-02, -2.830610331410446e-02,  2.105233229317366e-01
  2.937500000000000e+00,  1.255919538466870e-02,  3.798055803789547e-01,  9.631215816547087e-01,  1.544209439261424e+00, -1.012585208410401e+00, -1.520352644878783e+00,  6.250165903428284e-05,  2.220446061071742e-16, -3.519475862687847e-04,  2.002658386308220e-04,  2.314773225806350e-03, -1.127699322011410e-03,  3.536469183682754e-04,  5.102150959945357e-03, -1.991390008405602e-03,  5.088291740658901e-04,  7.995300276814769e-03, -2.865223138078897e-03,  6.563743099918982e-04,  1.084939015832525e-02, -3.696051555380254e-03,  8.032323830945135e-04,  1.345969085094659e-02, -4.523011113744617e-03,  8.796092982649923e-04,  1.628833834795249e-02, -4.953090432546366e-03,  1.183725999681583e-03, -3.461532103841801e-03,  9.142668682154913e-02,  1.183725999669588e-03, -3.461532103840911e-03,  9.142668682155815e-02,  1.183725999665257e-03, -3.461532103837470e-03,  9.142668682156160e-02,  1.183725999668034e-03, -3.461532103832082e-03,  9.142668682155831e-02,  1.183725999679584e-03, -3.461532103826529e-03,  9.142668682154877e-02,  1.183725999698186e-03, -3.461532103819088e-03,  9.142668682153282e-02, -3.093256872973725e-02,  2.102598778392784e-01
  2.941666666666666e+00,  1.245536084789028e-02,  3.791863182098396e-01,  9.651129862693625e-01,  1.544643456152243e+00, -1.015299258160540e+00, -1.519519512759449e+00, -3.025804796084238e-05,  0.000000000000000e+00, -3.423467609492943e-04, -9.695188005742697e-05,  2.535630952235499e-03, -1.096936661244688e-03, -1.712061020819330e-04,  5.588958673266713e-03, -1.937066613785366e-03, -2.463323020574904e-04,  8.758149881937667e-03, -2.787062332536866e-03, -3.177612507935713e-04,  1.188455490655953e-02, -3.595226470221939e-03, -3.888575814821187e-04,  1.474391026675848e-02, -4.399627288090847e-03, -4.258328617890886e-04,  1.784244539167442e-02, -4.817974415582984e-03,  1.612243912705644e-03, -3.704630553773014e-03,  9.132831447864977e-02,  1.612243912699092e-03, -3.704630553772902e-03,  9.132831447865486e-02,  1.612243912696315e-03, -3.704630553771125e-03,  9.132831447865675e-02,  1.612243912698592e-03, -3.704630553768294e-03,  9.132831447865465e-02,  1.612243912704034e-03, -3.704630553764517e-03,  9.132831447865003e-02,  1.612243912714807e-03, -3.704630553761074e-03,  9.132831447864109e-02, -3.358388198895802e-02,  2.099427697312050e-01
  2.945833333333333e+00,  1.235862445393711e-02,  3.785546845331502e-01,  9.671510836517986e-01,  1.545557499700082e+00, -1.018179169580793e+00, -1.518551113179312e+00, -1.344013056494123e-04,  2.220446060886674e-15, -3.281912881769058e-04, -4.306444117533525e-04,  2.749478821611819e-03, -1.051580143199914e-03, -7.604695347431514e-04,  6.060315478265237e-03, -1.856972110678454e-03, -1.094167841332459e-03,  9.496787218046483e-03, -2.671821911240238e-03, -1.411443561954353e-03,  1.288686430926906e-02, -3.446569797478262e-03, -1.727241847547415e-03,  1.598736953041788e-02, -4.217709970954811e-03, -1.891480001851219e-03,  1.934722625421421e-02, -4.618759136121851e-03,  2.094205549956518e-03, -3.941014198963581e-03,  9.121455463495109e-02,  2.094205549927865e-03, -3.941014198962249e-03,  9.121455463497348e-02,  2.094205549916981e-03, -3.941014198954697e-03,  9.121455463498075e-02,  2.094205549924478e-03, -3.941014198942204e-03,  9.121455463497334e-02,  2.094205549950966e-03, -3.941014198927044e-03,  9.121455463495122e-02,  2.094205549996166e-03, -3.941014198910548e-03,  9.121455463491379e-02, -3.625069139820627e-02,  2.095740032056576e-01
  2.950000000000000e+00,  1.226791635545988e-02,  3.779170712999378e-01,  9.692262256181525e-01,  1.546920898001444e+00, -1.021165139893801e+00, -1.517489694970067e+00, -2.484226001800682e-04,  1.776356851048489e-15, -3.092947146667363e-04, -7.959878366109590e-04,  2.955903335057730e-03, -9.910323401516245e-04, -1.405624880408313e-03,  6.515309953617970e-03, -1.750051509000344e-03, -2.022420979217855e-03,  1.020978404689298e-02, -2.517983948524161e-03, -2.608862153362460e-03,  1.385438028865425e-02, -3.248123458756605e-03, -3.192572489068820e-03,  1.718766427379608e-02, -3.974862980843306e-03, -3.496144460660437e-03,  2.079977127281929e-02, -4.352820567094386e-03,  2.624795677433519e-03, -4.170358070018154e-03,  9.108718330206397e-02,  2.624795677417193e-03, -4.170358070017933e-03,  9.108718330207603e-02,  2.624795677410974e-03, -4.170358070013380e-03,  9.108718330208031e-02,  2.624795677415083e-03, -4.170358070006549e-03,  9.108718330207642e-02,  2.624795677429688e-03, -4.170358069997942e-03,  9.108718330206432e-02,  2.624795677455509e-03, -4.170358069988668e-03,  9.108718330204482e-02, -3.892293816649182e-02,  2.091584247907859e-01
  2.954166666666667e+00,  1.218218115426297e-02,  3.772786016242001e-01,  9.713287408209912e-01,  1.548691111952979e+00, -1.024198070532370e+00, -1.516374248660956e+00, -3.706131229800667e-04,  1.776356855603036e-15, -2.855844656730627e-04, -1.187506844254040e-03,  3.154492177564705e-03, -9.150607104031708e-04, -2.097003357546188e-03,  6.953033287435465e-03, -1.615894166302562e-03, -3.017180218494781e-03,  1.089571621932559e-02, -2.324957609726265e-03, -3.892071612582239e-03,  1.478517031569780e-02, -2.999125295136130e-03, -4.762888962837599e-03,  1.834239701253415e-02, -3.670153632372426e-03, -5.215777534003043e-03,  2.219717911512142e-02, -4.019137336904875e-03,  3.197985097366113e-03, -4.392463396777765e-03,  9.094711846136595e-02,  3.197985097356784e-03, -4.392463396777543e-03,  9.094711846137234e-02,  3.197985097352952e-03, -4.392463396775654e-03,  9.094711846137465e-02,  3.197985097355507e-03, -4.392463396771545e-03,  9.094711846137273e-02,  3.197985097363169e-03, -4.392463396766992e-03,  9.094711846136644e-02,  3.197985097377386e-03, -4.392463396761605e-03,  9.094711846135607e-02, -4.158991906808001e-02,  2.086985596819349e-01
